     file  region                                  year wage_ratio
     <chr> <chr>                                  <int>      <dbl>
 359 at98h [223]AT223 - Östliche Obersteiermark    1998      1.01 
 360 at98h [224]AT224 - Oststeiermark              1998      1.12 
 361 at98h [225]AT225 - West- und Südsteiermark    1998      1.12 
 362 at98h [226]AT226 - Westliche Obersteiermark   1998      1.06 
 363 at98h [311]AT311 - Innviertel                 1998      1.08 
 364 at98h [312]AT312 - Linz-Wels                  1998      1.13 
 365 at98h [313]AT313 - Mühlviertel                1998     NA    
 366 at98h [314]AT314 - Steyr-Kirchdorf            1998      1.25 
 367 at98h [315]AT315 - Traunviertel               1998      1.02 
 368 at98h [321]AT321 - Lungau                     1998      1.06 
 369 at98h [322]AT322 - Pinzgau-Pongau             1998      1.04 
 370 at98h [323]AT323 - vSalzburg und Umgebung     1998     NA    
 371 at98h [331]AT331 - Außerfern                  1998      1.31 
 372 at98h [332]AT332 - Innsbruck                  1998      1.29 
 373 at98h [333]AT333 - Osttirol                   1998      1.12 
 374 at98h [334]AT334 - Tiroler Oberland           1998      1.25 
 375 at98h [335]AT335 - Tiroler Unterland          1998      1.08 
 376 at98h [341]AT341 - Bludenz-Bregenzer Wald     1998      1.02 
 377 at98h [342]AT342 - Rheintal-Bodenseegebiet    1998      1.00 
 378 at98h <NA>                                    1998      1.01 
 379 at99h [111]AT111 - Mittelburgenland           1999      1.42 
 380 at99h [112]AT112 - Nordburgenland             1999      1.02 
 381 at99h [113]AT113 - Südburgenland              1999      1.03 
 382 at99h [121]AT121 - Mostviertel-Eisenwurzen    1999      1.10 
 383 at99h [122]AT122 - Niederösterreich-Süd       1999     NA    
 384 at99h [123]AT123 - Sankt Pölten               1999      0.937
 385 at99h [124]AT124 - Waldviertel                1999      1.57 
 386 at99h [125]AT125 - Weinviertel                1999      1.11 
 387 at99h [126]AT126 - Wiener Umland/Nordteil     1999      1.17 
 388 at99h [127]AT127 - Wiener Umland/Südteil      1999      1.18 
 389 at99h [131]AT131 - Wien                       1999     NA    
 390 at99h [211]AT211 - Klagenfurt-Villach         1999      1.44 
 391 at99h [212]AT212 - Oberkärnten                1999      1.23 
 392 at99h [213]AT213 - Unterkärnten               1999      0.898
