cleaned_region_x,year,perc_im
ciudad autonoma de ceuta y melill,2004,69.05111635656762
ciudad autonoma de ceuta y melill,2008,72.70351044939217
ciudad autonoma de ceuta y melill,2011,130.53234000371722
ciudad autonoma de ceuta y melill,2015,88.02260114572145
ciudad autonoma de ceuta y melill,2016,92.99836186446112
ciudad autonoma de ceuta y melill,2019,240.67076986902148
ciudad autonoma de melilla,1993,64.30244288622484
ciudad autonoma de melilla,1996,128.01091080904268
ciudad autonoma de melilla,2000,11.618706994328925
ciudad autonoma de melilla,2004,65.19420749489647
ciudad autonoma de melilla,2008,64.62974454249884
ciudad autonoma de melilla,2011,135.79963749352663
ciudad autonoma de melilla,2015,86.47240639831253
ciudad autonoma de melilla,2016,90.56939562638722
ciudad autonoma de melilla,2019,301.4031855511356
communidad de madrid,1993,55.94032386695474
communidad de madrid,1996,113.31936452396138
communidad de madrid,2000,13.17155362632574
communidad de madrid,2004,55.70357750232082
communidad de madrid,2008,64.98850880547744
communidad de madrid,2011,110.8167153321282
communidad de madrid,2015,70.01705239822773
communidad de madrid,2016,70.06173152449034
communidad de madrid,2019,283.10868222541
communidad foral de navarra,1993,49.62047993763557
communidad foral de navarra,1996,92.50744357006876
communidad foral de navarra,2000,12.201142273584477
communidad foral de navarra,2004,44.10508781754888
communidad foral de navarra,2008,0
communidad foral de navarra,2011,16.654262275591485
communidad foral de navarra,2015,62.147304340995674
communidad foral de navarra,2016,58.6449861242324
communidad foral de navarra,2019,13.303458620812082
comunidad de madrid,1993,55.94032386695474
comunidad de madrid,1996,113.31936452396138
comunidad de madrid,2000,13.17155362632574
comunidad de madrid,2004,55.70357750232082
comunidad de madrid,2008,64.98850880547744
comunidad de madrid,2011,110.8167153321282
comunidad de madrid,2015,70.01705239822773
comunidad de madrid,2016,70.06173152449034
comunidad de madrid,2019,283.10868222541
comunidad foral de navarra,1993,49.62047993763557
comunidad foral de navarra,1996,92.50744357006876
comunidad foral de navarra,2000,12.201142273584477
comunidad foral de navarra,2004,44.10508781754888
comunidad foral de navarra,2008,0
comunidad foral de navarra,2011,16.654262275591485
comunidad foral de navarra,2015,62.147304340995674
comunidad foral de navarra,2016,58.6449861242324
comunidad foral de navarra,2019,13.303458620812082
comunidad valenciana,1993,55.34202651176123
