region,year,avg_gini
Lorraine,2006,0.323
Lorraine,2007,0.321
Lorraine,2008,0.299
Lorraine,2009,0.298
Lorraine,2010,0.314
Lorraine,2011,0.327
Lorraine,2012,0.334
Lorraine,2013,0.331
Lorraine,2014,0.298
Lorraine,2015,0.316
Lorraine,2016,0.311
Lorraine,2017,0.324
Lorraine,2018,0.303
Midi-Pyrénées,1996,0.313
Midi-Pyrénées,1997,0.351
Midi-Pyrénées,1998,0.323
Midi-Pyrénées,1999,0.315
Midi-Pyrénées,2000,0.31
Midi-Pyrénées,2001,0.311
Midi-Pyrénées,2002,0.287
Midi-Pyrénées,2003,0.31
Midi-Pyrénées,2004,0.321
Midi-Pyrénées,2005,0.304
Midi-Pyrénées,2006,0.331
Midi-Pyrénées,2007,0.337
Midi-Pyrénées,2008,0.328
Midi-Pyrénées,2009,0.345
Midi-Pyrénées,2010,0.313
Midi-Pyrénées,2011,0.315
Midi-Pyrénées,2012,0.33
Midi-Pyrénées,2013,0.324
Midi-Pyrénées,2014,0.355
Midi-Pyrénées,2015,0.349
Midi-Pyrénées,2016,0.308
Midi-Pyrénées,2017,0.325
Midi-Pyrénées,2018,0.318
Nord-Pas de Cal,1996,0.274
Nord-Pas de Cal,1997,0.296
Nord-Pas de Cal,1998,0.279
Nord-Pas de Cal,1999,0.28
Nord-Pas de Cal,2000,0.307
Nord-Pas de Cal,2001,0.311
Nord-Pas de Cal,2002,0.302
Nord-Pas de Cal,2003,0.294
Nord-Pas de Cal,2004,0.296
Nord-Pas de Cal,2005,0.319
Nord-Pas de Cal,2006,0.296
Nord-Pas de Cal,2007,0.297
Nord-Pas de Cal,2008,0.309
Nord-Pas de Cal,2009,0.342
Nord-Pas de Cal,2010,0.33
Nord-Pas de Cal,2011,0.321
Nord-Pas de Cal,2012,0.309
Nord-Pas de Cal,2013,0.312
Nord-Pas de Cal,2014,0.318
Nord-Pas de Cal,2015,0.318
Nord-Pas de Cal,2016,0.312
Nord-Pas de Cal,2017,0.301
Nord-Pas de Cal,2018,0.309
Pays de la Loir,1996,0.265
Pays de la Loir,1997,0.294
Pays de la Loir,1998,0.285
Pays de la Loir,1999,0.29
Pays de la Loir,2000,0.306
Pays de la Loir,2001,0.296
Pays de la Loir,2002,0.301
Pays de la Loir,2003,0.296
Pays de la Loir,2004,0.311
Pays de la Loir,2005,0.34
Pays de la Loir,2006,0.303
Pays de la Loir,2007,0.315
Pays de la Loir,2008,0.313
Pays de la Loir,2009,0.316
Pays de la Loir,2010,0.333
Pays de la Loir,2011,0.318
Pays de la Loir,2012,0.302
Pays de la Loir,2013,0.298
Pays de la Loir,2014,0.294
Pays de la Loir,2015,0.292
Pays de la Loir,2016,0.282
Pays de la Loir,2017,0.291
Pays de la Loir,2018,0.332
Picardie,1996,0.292
Picardie,1997,0.285
Picardie,1998,0.282
Picardie,1999,0.281
Picardie,2000,0.275
Picardie,2001,0.282
Picardie,2002,0.289
Picardie,2003,0.284
Picardie,2004,0.284
Picardie,2005,0.285
Picardie,2006,0.301
Picardie,2007,0.306
Picardie,2008,0.314
Picardie,2009,0.287
Picardie,2010,0.294
Picardie,2011,0.303
Picardie,2012,0.329
Picardie,2013,0.305
Picardie,2014,0.3
Picardie,2015,0.292
Picardie,2016,0.293
Picardie,2017,0.299
Picardie,2018,0.285
Poitou-Charente,1996,0.312
Poitou-Charente,1997,0.31
Poitou-Charente,1998,0.292
Poitou-Charente,1999,0.304
Poitou-Charente,2000,0.306
Poitou-Charente,2001,0.306
Poitou-Charente,2002,0.314
Poitou-Charente,2003,0.33
Poitou-Charente,2004,0.303
Poitou-Charente,2005,0.315
Poitou-Charente,2006,0.315
Poitou-Charente,2007,0.317
Poitou-Charente,2008,0.311
Poitou-Charente,2009,0.352
Poitou-Charente,2010,0.299
Poitou-Charente,2011,0.302
Poitou-Charente,2012,0.281
Poitou-Charente,2013,0.282
Poitou-Charente,2014,0.294
Poitou-Charente,2015,0.292
Poitou-Charente,2016,0.295
Poitou-Charente,2017,0.286
Poitou-Charente,2018,0.288
Provence-Alpes-,2002,0.331
Provence-Alpes-,2003,0.324
Provence-Alpes-,2004,0.31
Provence-Alpes-,2005,0.312
Provence-Alpes-,2006,0.314
Provence-Alpes-,2007,0.339
Provence-Alpes-,2008,0.322
Provence-Alpes-,2009,0.322
Provence-Alpes-,2010,0.334
Provence-Alpes-,2011,0.343
Provence-Alpes-,2012,0.34
Provence-Alpes-,2013,0.327
